latitude,longitude,rwi,error
-1.9661667,-78.7170410,0.093,0.450
-0.1867672,-80.2551270,-0.122,0.527
-2.3613917,-80.0793457,-0.504,0.430
-1.5928123,-79.7497559,-0.698,0.531
-2.6248138,-79.7277832,-0.419,0.421
-2.2955282,-78.8928223,0.043,0.497
0.7800052,-78.2556152,-0.811,0.429
-0.8459165,-78.5412598,-0.145,0.460
-1.0436434,-78.5192871,-0.345,0.506
-0.7580345,-79.5959473,-0.590,0.447
-1.4170918,-80.7385254,-0.291,0.439
-1.9442068,-79.9035645,-0.751,0.518
-1.5708481,-80.1013184,-0.060,0.414
-0.8898568,-78.6511230,0.794,0.435
-1.3292264,-78.6950684,0.584,0.541
-1.3292264,-80.3210449,-0.305,0.537
-0.9118267,-79.3762207,-0.405,0.488
-2.1637921,-79.7277832,-0.330,0.521
-1.5928123,-78.9147949,-0.116,0.424
-0.1208495,-79.7277832,-0.883,0.407
0.9118267,-79.6838379,0.990,0.552
-1.4390576,-80.4748535,-0.446,0.434
-1.8563646,-79.0686035,-0.086,0.435
-3.2392398,-79.3981934,-0.728,0.443
-2.5589632,-79.5739746,-0.249,0.455
0.4064907,-79.4421387,-0.343,0.520
-1.5269188,-79.4201660,-0.535,0.429
-0.4724067,-78.9587402,-0.635,0.417
-1.0216743,-79.7058105,-0.160,0.516
-0.9997051,-80.3869629,-0.099,0.525
-2.6028640,-80.0134277,-0.300,0.452
-3.8752158,-79.6618652,-0.639,0.452
-1.7026302,-80.8044434,-0.206,0.453
0.5163504,-79.9035645,-0.635,0.403
-3.2611771,-78.5632324,-0.313,0.471
-0.7580345,-79.5300293,-0.376,0.440
-0.0109863,-78.6071777,-0.465,0.579
0.2526847,-79.9914551,0.143,0.436
-0.8019758,-79.5959473,-0.745,0.426
-1.1754546,-79.0466309,-0.367,0.449
-3.4147247,-79.8156738,-0.226,0.472
-4.0067400,-79.3322754,-0.274,0.461
-3.5682478,-80.1232910,-0.116,0.461
0.1647947,-78.0798340,0.027,0.520
-1.1095498,-79.2004395,-1.274,0.426
-1.4829887,-80.1672363,-0.720,0.398
-0.8678867,-78.7390137,-0.290,0.398
-1.1974226,-79.2224121,-0.285,0.496
-0.1208495,-79.9694824,-0.233,0.421
-1.0436434,-77.7062988,0.477,0.487
0.2966295,-78.5852051,-1.014,0.447
0.2307123,-79.4201660,-0.337,0.488
-4.1820725,-80.1013184,-0.542,0.451
-1.7245930,-77.9699707,-0.155,0.507
0.2746571,-79.5959473,-1.375,0.412
-0.6262082,-79.9035645,0.082,0.450
0.5383221,-79.6838379,-0.261,0.390
0.2746571,-79.9475098,0.302,0.573
-0.0109863,-76.8493652,-0.318,0.396
-1.5708481,-79.4860840,0.056,0.529
-2.2077054,-80.0573730,0.651,0.525
-3.1734250,-79.8376465,0.234,0.526
-2.1418349,-79.4641113,-0.170,0.527
-1.9442068,-79.0246582,-0.559,0.386
-4.4011829,-80.3430176,-0.240,0.422
0.0769043,-78.4094238,-0.009,0.506
-0.6481795,-80.1672363,-0.416,0.478
-2.1418349,-80.0134277,-0.283,0.579
-0.3625464,-76.6955566,-0.344,0.426
0.7140928,-77.7062988,-0.414,0.455
-0.5602938,-76.7834473,-0.413,0.451
0.2526847,-79.2883301,-0.365,0.484
-1.6367402,-78.7170410,-0.146,0.493
-1.2852926,-79.8596191,-0.428,0.439
-0.7360637,-75.5749512,-0.356,0.456
-3.7217452,-79.7497559,-0.707,0.453
-4.6640299,-79.0246582,0.148,0.417
-2.1857489,-78.0798340,-0.276,0.492
-4.0944111,-80.0573730,-0.331,0.414
-0.9557662,-80.0793457,-0.601,0.474
-0.2307123,-78.8269043,-0.926,0.423
0.1647947,-77.0031738,-0.467,0.420
-1.2193903,-79.8596191,-0.762,0.429
-0.9777357,-78.7390137,0.104,0.463
-1.8344033,-79.9255371,-0.582,0.516
-1.6587038,-79.4860840,-0.415,0.472
-1.1315182,-80.2551270,-0.358,0.505
-2.6687122,-79.9035645,-0.289,0.527
-2.3394375,-78.9367676,0.653,0.479
-0.9557662,-79.5739746,-0.404,0.499
-1.5708481,-79.4421387,-0.566,0.473
0.1867672,-78.1896973,0.715,0.532
-0.3625464,-79.9694824,-0.071,0.399
-1.1095498,-79.7497559,-0.563,0.505
0.0988769,-78.1237793,0.436,0.511
0.9118267,-79.2883301,-0.318,0.392
-4.5764249,-79.4421387,-0.370,0.481
-1.9661667,-79.0246582,-0.681,0.387
-1.0656124,-79.3981934,-0.969,0.466
-1.1095498,-77.8161621,-0.028,0.467
0.1647947,-76.5637207,-0.282,0.425
-0.6481795,-80.1232910,-0.220,0.439
0.4504348,-78.5412598,-0.211,0.393
-3.1734250,-79.7717285,-0.099,0.432
-1.8563646,-80.4968262,-0.338,0.410
-3.1734250,-79.5300293,-0.417,0.414
-3.4805234,-79.3981934,-0.004,0.460
-0.6262082,-79.7717285,0.104,0.400
-1.0875811,-79.9475098,-0.800,0.554
0.2746571,-78.2336426,0.661,0.503
-2.6687122,-78.2775879,-0.481,0.391
-0.8459165,-78.5852051,0.073,0.530
-1.0875811,-78.6071777,0.359,0.497
-0.2087398,-77.7062988,0.083,0.455
-0.4064907,-77.0910645,-0.431,0.431
-2.3174830,-78.0798340,-0.274,0.534
1.1534865,-79.0026855,-0.367,0.448
-0.8239462,-75.5090332,-0.869,0.421
-2.0100856,-78.7829590,-0.639,0.459
-1.2413579,-78.7390137,0.077,0.488
-2.0100856,-79.2883301,-0.546,0.470
-3.4585910,-79.5959473,-0.806,0.440
0.4284628,-79.6838379,-0.390,0.404
-3.5024552,-79.9914551,-0.206,0.448
-0.0329590,-76.5637207,-0.340,0.465
-2.3833455,-78.9807129,-0.318,0.481
-1.9661667,-80.6726074,-0.447,0.501
0.0988769,-77.0251465,-0.458,0.481
-0.8898568,-78.5192871,-0.143,0.416
-3.1734250,-79.2004395,-0.263,0.539
1.1315182,-78.6730957,-0.929,0.427
-3.9190595,-79.6618652,-0.483,0.427
-3.7875216,-79.2224121,-0.657,0.411
-1.2413579,-78.5412598,0.077,0.533
-3.0856655,-78.8049316,0.166,0.510
0.7140928,-79.5959473,-0.424,0.527
-3.4585910,-79.2883301,-0.614,0.399
-3.0637244,-79.9035645,-0.277,0.491
-1.8124418,-79.8815918,-0.313,0.515
-0.9557662,-79.7277832,-0.678,0.463
-1.5488836,-79.2224121,-0.577,0.427
-2.3613917,-79.5739746,-0.347,0.472
-0.1428221,-76.9372559,-0.569,0.512
-2.9978987,-78.2336426,-0.335,0.411
-2.2516175,-79.7277832,-0.266,0.503
-0.8898568,-79.6398926,-0.429,0.455
-1.2413579,-78.5632324,0.108,0.461
-0.6481795,-80.2551270,-0.145,0.487
-1.5928123,-79.9475098,-0.367,0.479
-2.7345569,-79.9035645,0.675,0.570
0.5163504,-79.4860840,-1.246,0.389
-2.2955282,-80.7165527,0.220,0.474
-0.1208495,-80.2331543,-0.322,0.484
-0.2307123,-79.5739746,-0.716,0.469
-0.1208495,-79.9255371,-0.740,0.439
-1.7245930,-79.0026855,-0.118,0.461
-2.8662354,-78.8269043,0.000,0.459
-3.0198411,-78.8928223,-0.094,0.487
-0.9337965,-77.7941895,-0.718,0.498
-3.4147247,-78.5632324,0.049,0.475
-1.7685179,-79.4641113,-0.777,0.466
-0.8678867,-79.7717285,-0.772,0.418
-1.5488836,-77.8820801,-0.892,0.433
-2.2077054,-79.7717285,0.249,0.493
0.5602938,-79.2443848,-0.649,0.404
0.1867672,-78.1677246,-0.167,0.503
-0.8019758,-77.0910645,-0.836,0.397
0.6481795,-77.9040527,-0.293,0.423
0.0988769,-78.1896973,0.001,0.478
-3.7436712,-79.9914551,-0.158,0.507
-1.0436434,-80.8703613,-0.250,0.456
-0.8898568,-78.8708496,-0.663,0.393
-2.5150610,-79.6398926,-0.177,0.513
-2.4492049,-78.1237793,-0.284,0.483
-1.0436434,-78.6950684,0.191,0.488
-0.5383221,-80.0793457,-0.717,0.472
-3.9629009,-78.8488770,0.285,0.498
1.0216743,-79.3322754,-0.440,0.419
-1.2633253,-78.4973145,0.547,0.528
-0.6262082,-77.4426270,-0.676,0.386
-1.9442068,-80.0573730,-0.746,0.446
-3.0637244,-78.9807129,-0.357,0.448
-0.8678867,-77.8161621,-0.217,0.458
